ID,Price
Tepung Terigu (Curah)/Aceh/2024-10-01,10606.512
Tepung Terigu (Curah)/Aceh/2024-10-02,10594.477
Tepung Terigu (Curah)/Aceh/2024-10-03,10605.159
Tepung Terigu (Curah)/Aceh/2024-10-04,10597.843
Tepung Terigu (Curah)/Aceh/2024-10-05,10588.39
Tepung Terigu (Curah)/Aceh/2024-10-06,10584.654
Tepung Terigu (Curah)/Aceh/2024-10-07,10595.828
Tepung Terigu (Curah)/Aceh/2024-10-08,10601.549
Tepung Terigu (Curah)/Aceh/2024-10-09,10570.77
Tepung Terigu (Curah)/Aceh/2024-10-10,10559.547
Tepung Terigu (Curah)/Aceh/2024-10-11,10563.469
Tepung Terigu (Curah)/Aceh/2024-10-12,10568.694
Tepung Terigu (Curah)/Aceh/2024-10-13,10568.678
Tepung Terigu (Curah)/Aceh/2024-10-14,10565.34
Tepung Terigu (Curah)/Aceh/2024-10-15,10579.416
Tepung Terigu (Curah)/Aceh/2024-10-16,10583.586
Tepung Terigu (Curah)/Aceh/2024-10-17,10583.679
Tepung Terigu (Curah)/Aceh/2024-10-18,10612.85
Tepung Terigu (Curah)/Aceh/2024-10-19,10576.996
Tepung Terigu (Curah)/Aceh/2024-10-20,10581.246
Tepung Terigu (Curah)/Aceh/2024-10-21,10590.073
Tepung Terigu (Curah)/Aceh/2024-10-22,10591.399
Tepung Terigu (Curah)/Aceh/2024-10-23,10587.531
Tepung Terigu (Curah)/Aceh/2024-10-24,10583.449
Tepung Terigu (Curah)/Aceh/2024-10-25,10583.414
Tepung Terigu (Curah)/Aceh/2024-10-26,10559.793
Tepung Terigu (Curah)/Aceh/2024-10-27,10553.153
Tepung Terigu (Curah)/Aceh/2024-10-28,10602.261
Tepung Terigu (Curah)/Aceh/2024-10-29,10611.446
Tepung Terigu (Curah)/Aceh/2024-10-30,10596.583
Tepung Terigu (Curah)/Aceh/2024-10-31,10596.594
Tepung Terigu (Curah)/Aceh/2024-11-01,10557.546
Tepung Terigu (Curah)/Aceh/2024-11-02,10578.534
Tepung Terigu (Curah)/Aceh/2024-11-03,10562.729
Tepung Terigu (Curah)/Aceh/2024-11-04,10575.917
Tepung Terigu (Curah)/Aceh/2024-11-05,10573.478
Tepung Terigu (Curah)/Aceh/2024-11-06,10568.976
Tepung Terigu (Curah)/Aceh/2024-11-07,10553.924
Tepung Terigu (Curah)/Aceh/2024-11-08,10558.685
Tepung Terigu (Curah)/Aceh/2024-11-09,10556.812
Tepung Terigu (Curah)/Aceh/2024-11-10,10553.049
Tepung Terigu (Curah)/Aceh/2024-11-11,10548.203
Tepung Terigu (Curah)/Aceh/2024-11-12,10552.535
Tepung Terigu (Curah)/Aceh/2024-11-13,10547.87
Tepung Terigu (Curah)/Aceh/2024-11-14,10538.901
Tepung Terigu (Curah)/Aceh/2024-11-15,10556.519
Tepung Terigu (Curah)/Aceh/2024-11-16,10558.873
Tepung Terigu (Curah)/Aceh/2024-11-17,10559.449
Tepung Terigu (Curah)/Aceh/2024-11-18,10589.78
Tepung Terigu (Curah)/Aceh/2024-11-19,10574.033
Tepung Terigu (Curah)/Aceh/2024-11-20,10569.454
Tepung Terigu (Curah)/Aceh/2024-11-21,10564.712
Tepung Terigu (Curah)/Aceh/2024-11-22,10560.465
Tepung Terigu (Curah)/Aceh/2024-11-23,10563.919
Tepung Terigu (Curah)/Aceh/2024-11-24,10553.06
Tepung Terigu (Curah)/Aceh/2024-11-25,10569.104
Tepung Terigu (Curah)/Aceh/2024-11-26,10588.539
Tepung Terigu (Curah)/Aceh/2024-11-27,10583.283
Tepung Terigu (Curah)/Aceh/2024-11-28,10565.037
Tepung Terigu (Curah)/Aceh/2024-11-29,10560.608
Tepung Terigu (Curah)/Aceh/2024-11-30,10558.109
Tepung Terigu (Curah)/Aceh/2024-12-01,10526.7
Tepung Terigu (Curah)/Aceh/2024-12-02,10597.538
Tepung Terigu (Curah)/Aceh/2024-12-03,10604.964
Tepung Terigu (Curah)/Aceh/2024-12-04,10578.68
Tepung Terigu (Curah)/Aceh/2024-12-05,10563.055
Tepung Terigu (Curah)/Aceh/2024-12-06,10573.22
Tepung Terigu (Curah)/Aceh/2024-12-07,10577.2295
Tepung Terigu (Curah)/Aceh/2024-12-08,10575.366
Tepung Terigu (Curah)/Aceh/2024-12-09,10579.599
Tepung Terigu (Curah)/Aceh/2024-12-10,10583.072
Tepung Terigu (Curah)/Aceh/2024-12-11,10569.7705
Tepung Terigu (Curah)/Aceh/2024-12-12,10505.929
Tepung Terigu (Curah)/Aceh/2024-12-13,10521.5625
Tepung Terigu (Curah)/Aceh/2024-12-14,10537.254
Tepung Terigu (Curah)/Aceh/2024-12-15,10556.383
Tepung Terigu (Curah)/Aceh/2024-12-16,10551.198
Tepung Terigu (Curah)/Aceh/2024-12-17,10581.014
Tepung Terigu (Curah)/Aceh/2024-12-18,10652.309
Tepung Terigu (Curah)/Aceh/2024-12-19,10618.3
Tepung Terigu (Curah)/Aceh/2024-12-20,10632.26
Tepung Terigu (Curah)/Aceh/2024-12-21,10631.533
Tepung Terigu (Curah)/Aceh/2024-12-22,10637.134
Tepung Terigu (Curah)/Aceh/2024-12-23,10624.761
Tepung Terigu (Curah)/Aceh/2024-12-24,10650.681
Tepung Terigu (Curah)/Aceh/2024-12-25,10641.492
Tepung Terigu (Curah)/Aceh/2024-12-26,10640.25
Tepung Terigu (Curah)/Aceh/2024-12-27,10638.435
Tepung Terigu (Curah)/Aceh/2024-12-28,10643.305
Tepung Terigu (Curah)/Aceh/2024-12-29,10584.499
Tepung Terigu (Curah)/Aceh/2024-12-30,10678.525
Tepung Terigu (Curah)/Aceh/2024-12-31,10662.537
Tepung Terigu (Curah)/Bali/2024-10-01,10365.093
Tepung Terigu (Curah)/Bali/2024-10-02,10333.201
Tepung Terigu (Curah)/Bali/2024-10-03,10324.195
Tepung Terigu (Curah)/Bali/2024-10-04,10335.625
Tepung Terigu (Curah)/Bali/2024-10-05,10364.604
Tepung Terigu (Curah)/Bali/2024-10-06,10378.859
Tepung Terigu (Curah)/Bali/2024-10-07,10416.826
Tepung Terigu (Curah)/Bali/2024-10-08,10391.768
Tepung Terigu (Curah)/Bali/2024-10-09,10386.211
Tepung Terigu (Curah)/Bali/2024-10-10,10362.856
Tepung Terigu (Curah)/Bali/2024-10-11,10400.062
Tepung Terigu (Curah)/Bali/2024-10-12,10399.933
Tepung Terigu (Curah)/Bali/2024-10-13,10415.346
Tepung Terigu (Curah)/Bali/2024-10-14,10437.845
Tepung Terigu (Curah)/Bali/2024-10-15,10410.256
Tepung Terigu (Curah)/Bali/2024-10-16,10391.653
Tepung Terigu (Curah)/Bali/2024-10-17,10375.349
Tepung Terigu (Curah)/Bali/2024-10-18,10371.053
Tepung Terigu (Curah)/Bali/2024-10-19,10345.331
Tepung Terigu (Curah)/Bali/2024-10-20,10373.842
Tepung Terigu (Curah)/Bali/2024-10-21,10398.011
Tepung Terigu (Curah)/Bali/2024-10-22,10371.135
Tepung Terigu (Curah)/Bali/2024-10-23,10351.649
Tepung Terigu (Curah)/Bali/2024-10-24,10336.691
Tepung Terigu (Curah)/Bali/2024-10-25,10344.622
Tepung Terigu (Curah)/Bali/2024-10-26,10332.907
Tepung Terigu (Curah)/Bali/2024-10-27,10351.687
Tepung Terigu (Curah)/Bali/2024-10-28,10418.582
Tepung Terigu (Curah)/Bali/2024-10-29,10411.397
Tepung Terigu (Curah)/Bali/2024-10-30,10418.296
Tepung Terigu (Curah)/Bali/2024-10-31,10428.173
Tepung Terigu (Curah)/Bali/2024-11-01,10377.621
Tepung Terigu (Curah)/Bali/2024-11-02,10352.059
Tepung Terigu (Curah)/Bali/2024-11-03,10329.927
Tepung Terigu (Curah)/Bali/2024-11-04,10385.408
Tepung Terigu (Curah)/Bali/2024-11-05,10377.392
Tepung Terigu (Curah)/Bali/2024-11-06,10377.101
Tepung Terigu (Curah)/Bali/2024-11-07,10356.106
Tepung Terigu (Curah)/Bali/2024-11-08,10372.121
Tepung Terigu (Curah)/Bali/2024-11-09,10371.886
Tepung Terigu (Curah)/Bali/2024-11-10,10381.952
Tepung Terigu (Curah)/Bali/2024-11-11,10420.709
Tepung Terigu (Curah)/Bali/2024-11-12,10380.722
Tepung Terigu (Curah)/Bali/2024-11-13,10380.387
Tepung Terigu (Curah)/Bali/2024-11-14,10363.966
Tepung Terigu (Curah)/Bali/2024-11-15,10384.973
Tepung Terigu (Curah)/Bali/2024-11-16,10371.653
Tepung Terigu (Curah)/Bali/2024-11-17,10384.933
Tepung Terigu (Curah)/Bali/2024-11-18,10366.202
Tepung Terigu (Curah)/Bali/2024-11-19,10337.838
Tepung Terigu (Curah)/Bali/2024-11-20,10359.179
Tepung Terigu (Curah)/Bali/2024-11-21,10344.758
Tepung Terigu (Curah)/Bali/2024-11-22,10352.943
Tepung Terigu (Curah)/Bali/2024-11-23,10349.916
Tepung Terigu (Curah)/Bali/2024-11-24,10353.792
Tepung Terigu (Curah)/Bali/2024-11-25,10368.275
Tepung Terigu (Curah)/Bali/2024-11-26,10391.046
Tepung Terigu (Curah)/Bali/2024-11-27,10397.767
Tepung Terigu (Curah)/Bali/2024-11-28,10386.225
Tepung Terigu (Curah)/Bali/2024-11-29,10393.341
Tepung Terigu (Curah)/Bali/2024-11-30,10388.931
Tepung Terigu (Curah)/Bali/2024-12-01,10392.566
Tepung Terigu (Curah)/Bali/2024-12-02,10419.316
Tepung Terigu (Curah)/Bali/2024-12-03,10389.737
Tepung Terigu (Curah)/Bali/2024-12-04,10384.67
Tepung Terigu (Curah)/Bali/2024-12-05,10357.645
Tepung Terigu (Curah)/Bali/2024-12-06,10378.398
Tepung Terigu (Curah)/Bali/2024-12-07,10355.605
Tepung Terigu (Curah)/Bali/2024-12-08,10380.922
Tepung Terigu (Curah)/Bali/2024-12-09,10423.269
Tepung Terigu (Curah)/Bali/2024-12-10,10376.546
Tepung Terigu (Curah)/Bali/2024-12-11,10362.594
Tepung Terigu (Curah)/Bali/2024-12-12,10306.494
Tepung Terigu (Curah)/Bali/2024-12-13,10348.551
Tepung Terigu (Curah)/Bali/2024-12-14,10365.98
Tepung Terigu (Curah)/Bali/2024-12-15,10399.487
Tepung Terigu (Curah)/Bali/2024-12-16,10397.86
Tepung Terigu (Curah)/Bali/2024-12-17,10330.338
Tepung Terigu (Curah)/Bali/2024-12-18,10379.746
Tepung Terigu (Curah)/Bali/2024-12-19,10352.704
Tepung Terigu (Curah)/Bali/2024-12-20,10375.059
Tepung Terigu (Curah)/Bali/2024-12-21,10389.267
Tepung Terigu (Curah)/Bali/2024-12-22,10381.327
Tepung Terigu (Curah)/Bali/2024-12-23,10339.593
Tepung Terigu (Curah)/Bali/2024-12-24,10362.273
Tepung Terigu (Curah)/Bali/2024-12-25,10347.167
Tepung Terigu (Curah)/Bali/2024-12-26,10378.586
Tepung Terigu (Curah)/Bali/2024-12-27,10396.098
Tepung Terigu (Curah)/Bali/2024-12-28,10348.61
Tepung Terigu (Curah)/Bali/2024-12-29,10312.842
Tepung Terigu (Curah)/Bali/2024-12-30,10392.252
Tepung Terigu (Curah)/Bali/2024-12-31,10430.692
Tepung Terigu (Curah)/Banten/2024-10-01,10106.739
Tepung Terigu (Curah)/Banten/2024-10-02,10111.49
Tepung Terigu (Curah)/Banten/2024-10-03,10107.289
